*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
Doctor - Wafi Energy Pakistan Limited,,,,,,,,,,4939,4545103985,27-04-26,27-06-26,,,Services in Punjab for the month of April 2026,1,"72,462.00",,208,Punjab Services Tax 16% (16%),"11,593.92",Tracking Category,BPO,Type,Official,PKR,Letterhead
Doctor - Wafi Energy Pakistan Limited,,,,,,,,,,4939,4545103985,27-04-26,27-06-26,,,Service Charges,1,"13,043",,208,Punjab Services Tax 16% (16%),"2,086.88",Tracking Category,BPO,Type,Official,PKR,Letterhead
Finance - Wafi Energy Pakistan Limited,,,,,,,,,,4940,4545435232,27-04-26,27-06-26,,,Services in Sindh for the month of April 2026,1,"443,093.00",,208,Sindh Sales Tax 15% (15%),"66,463.95",Tracking Category,BPO,Type,Official,PKR,Letterhead
Finance - Wafi Energy Pakistan Limited,,,,,,,,,,4940,4545435232,27-04-26,27-06-26,,,Service Charges,1,"79,757",,208,Sindh Sales Tax 15% (15%),"11,963.55",Tracking Category,BPO,Type,Official,PKR,Letterhead
LSC - Wafi Energy Pakistan Limited,,,,,,,,,,4941,4545437881,27-04-26,27-06-26,,,Services in Sindh for the month of April 2026,1,"650,883.00",,208,Sindh Sales Tax 15% (15%),"97,632.45",Tracking Category,BPO,Type,Official,PKR,Letterhead
LSC - Wafi Energy Pakistan Limited,,,,,,,,,,4941,4545437881,27-04-26,27-06-26,,,Service Charges,1,"117,159",,208,Sindh Sales Tax 15% (15%),"17,573.85",Tracking Category,BPO,Type,Official,PKR,Letterhead
LSC - Wafi Energy Pakistan Limited,,,,,,,,,,4942,4545438137,27-04-26,27-06-26,,,Services in Sindh for the month of April 2026,1,"545,183.00",,208,Sindh Sales Tax 15% (15%),"81,777.45",Tracking Category,BPO,Type,Official,PKR,Letterhead
LSC - Wafi Energy Pakistan Limited,,,,,,,,,,4942,4545438137,27-04-26,27-06-26,,,Service Charges,1,"98,133",,208,Sindh Sales Tax 15% (15%),"14,719.95",Tracking Category,BPO,Type,Official,PKR,Letterhead
LSC - Wafi Energy Pakistan Limited,,,,,,,,,,4943,4545438137,27-04-26,27-06-26,,,Services in Punjab for the month of April 2026,1,"229,275.00",,208,Punjab Services Tax 16% (16%),"36,684.00",Tracking Category,BPO,Type,Official,PKR,Letterhead
LSC - Wafi Energy Pakistan Limited,,,,,,,,,,4943,4545438137,27-04-26,27-06-26,,,Service Charges,1,"41,270",,208,Punjab Services Tax 16% (16%),"6,603.20",Tracking Category,BPO,Type,Official,PKR,Letterhead
Lubes - Wafi Energy Pakistan Limited,,,,,,,,,,4944,4545431509,27-04-26,27-06-26,,,Services in Sindh for the month of April 2026,1,"1,008,884.00",,208,Sindh Sales Tax 15% (15%),"151,332.60",Tracking Category,BPO,Type,Official,PKR,Letterhead
Lubes - Wafi Energy Pakistan Limited,,,,,,,,,,4944,4545431509,27-04-26,27-06-26,,,Service Charges,1,"181,599",,208,Sindh Sales Tax 15% (15%),"27,239.85",Tracking Category,BPO,Type,Official,PKR,Letterhead
Lubes - Wafi Energy Pakistan Limited,,,,,,,,,,4945,4545431509,27-04-26,27-06-26,,,Services in Punjab for the month of April 2026,1,"1,615,236.00",,208,Punjab Services Tax 16% (16%),"258,437.76",Tracking Category,BPO,Type,Official,PKR,Letterhead
Lubes - Wafi Energy Pakistan Limited,,,,,,,,,,4945,4545431509,27-04-26,27-06-26,,,Service Charges,1,"290,742",,208,Punjab Services Tax 16% (16%),"46,518.72",Tracking Category,BPO,Type,Official,PKR,Letterhead
RE - Wafi Energy Pakistan Limited,,,,,,,,,,4946,4545432813,27-04-26,27-06-26,,,Services in Sindh for the month of April 2026,1,"90,209.00",,208,Sindh Sales Tax 15% (15%),"13,531.35",Tracking Category,BPO,Type,Official,PKR,Letterhead
RE - Wafi Energy Pakistan Limited,,,,,,,,,,4946,4545432813,27-04-26,27-06-26,,,Service Charges,1,"16,238",,208,Sindh Sales Tax 15% (15%),"2,435.70",Tracking Category,BPO,Type,Official,PKR,Letterhead
RE - Wafi Energy Pakistan Limited,,,,,,,,,,4947,4545432813,27-04-26,27-06-26,,,Services in Punjab for the month of April 2026,1,"170,391.00",,208,Punjab Services Tax 16% (16%),"27,262.56",Tracking Category,BPO,Type,Official,PKR,Letterhead
RE - Wafi Energy Pakistan Limited,,,,,,,,,,4947,4545432813,27-04-26,27-06-26,,,Service Charges,1,"30,670",,208,Punjab Services Tax 16% (16%),"4,907.20",Tracking Category,BPO,Type,Official,PKR,Letterhead
RE - Wafi Energy Pakistan Limited,,,,,,,,,,4948,4545436519,27-04-26,27-06-26,,,Services in Punjab for the month of April 2026,1,"148,000.00",,208,Punjab Services Tax 16% (16%),"23,680.00",Tracking Category,BPO,Type,Official,PKR,Letterhead
RE - Wafi Energy Pakistan Limited,,,,,,,,,,4948,4545436519,27-04-26,27-06-26,,,Service Charges,1,"26,640",,208,Punjab Services Tax 16% (16%),"4,262.40",Tracking Category,BPO,Type,Official,PKR,Letterhead
Retail Materials & Services - Wafi Energy Pakistan Limited,,,,,,,,,,4949,4545437992,27-04-26,27-06-26,,,Services in Sindh for the month of April 2026,1,"1,916,423.00",,208,Sindh Sales Tax 15% (15%),"287,463.45",Tracking Category,BPO,Type,Official,PKR,Letterhead
Retail Materials & Services - Wafi Energy Pakistan Limited,,,,,,,,,,4949,4545437992,27-04-26,27-06-26,,,Service Charges,1,"344,956",,208,Sindh Sales Tax 15% (15%),"51,743.40",Tracking Category,BPO,Type,Official,PKR,Letterhead
Retail Materials & Services - Wafi Energy Pakistan Limited,,,,,,,,,,4950,4545437992,27-04-26,27-06-26,,,Services in Punjab for the month of April 2026,1,"1,110,551.00",,208,Punjab Services Tax 16% (16%),"177,688.16",Tracking Category,BPO,Type,Official,PKR,Letterhead
Retail Materials & Services - Wafi Energy Pakistan Limited,,,,,,,,,,4950,4545437992,27-04-26,27-06-26,,,Service Charges,1,"199,899",,208,Punjab Services Tax 16% (16%),"31,983.84",Tracking Category,BPO,Type,Official,PKR,Letterhead
Retail Materials & Services - Wafi Energy Pakistan Limited,,,,,,,,,,4951,4545437992,27-04-26,27-06-26,,,Services in KPK for the month of April 2026,1,"99,816.00",,208,KPK Services Tax 15% (15%),"14,972.40",Tracking Category,BPO,Type,Official,PKR,Letterhead
Retail Materials & Services - Wafi Energy Pakistan Limited,,,,,,,,,,4951,4545437992,27-04-26,27-06-26,,,Service Charges,1,"17,967",,208,KPK Services Tax 15% (15%),"2,695.05",Tracking Category,BPO,Type,Official,PKR,Letterhead
Trading & Supply - Wafi Energy Pakistan Limited,,,,,,,,,,4952,4545437882,27-04-26,27-06-26,,,Services in Sindh for the month of April 2026,1,"5,679,205.00",,208,Sindh Sales Tax 15% (15%),"851,880.75",Tracking Category,BPO,Type,Official,PKR,Letterhead
Trading & Supply - Wafi Energy Pakistan Limited,,,,,,,,,,4952,4545437882,27-04-26,27-06-26,,,Service Charges,1,"1,022,257",,208,Sindh Sales Tax 15% (15%),"153,338.55",Tracking Category,BPO,Type,Official,PKR,Letterhead
Trading & Supply - Wafi Energy Pakistan Limited,,,,,,,,,,4953,4545437882,27-04-26,27-06-26,,,Services in Punjab for the month of April 2026,1,"7,467,077.00",,208,Punjab Services Tax 16% (16%),"1,194,732.32",Tracking Category,BPO,Type,Official,PKR,Letterhead
Trading & Supply - Wafi Energy Pakistan Limited,,,,,,,,,,4953,4545437882,27-04-26,27-06-26,,,Service Charges,1,"1,344,074",,208,Punjab Services Tax 16% (16%),"215,051.84",Tracking Category,BPO,Type,Official,PKR,Letterhead
